	observed	Time_observed	ensemble_APAM2	Time_ensemble	ahps	Time_ahps
0	1.906	2019-01-20 00:00:00	-0.590239729749127	2019-01-22 12:00:00	-1.2	2019-01-22 18:00:00
1	1.886	2019-01-20 00:06:00	-0.7620147170245335	2019-01-22 13:00:00	-0.9	2019-01-22 19:00:00
2	1.877	2019-01-20 00:12:00	-0.8897477595751216	2019-01-22 14:00:00	-0.6	2019-01-22 20:00:00
3	1.864	2019-01-20 00:18:00	-1.1050204050323007	2019-01-22 15:00:00	-0.2	2019-01-22 21:00:00
4	1.844	2019-01-20 00:24:00	-1.245495740620724	2019-01-22 16:00:00	0.1	2019-01-22 22:00:00
5	1.824	2019-01-20 00:30:00	-1.2393775939834948	2019-01-22 17:00:00	0.3	2019-01-22 23:00:00
6	1.811	2019-01-20 00:36:00	-1.0391104341884785	2019-01-22 18:00:00	0.4	2019-01-23 00:00:00
7	1.791	2019-01-20 00:42:00	-0.7319148949123138	2019-01-22 19:00:00	0.2	2019-01-23 01:00:00
8	1.781	2019-01-20 00:48:00	-0.3903736450613109	2019-01-22 20:00:00	0.0	2019-01-23 02:00:00
9	1.762	2019-01-20 00:54:00	-0.07193689105282791	2019-01-22 21:00:00	-0.3	2019-01-23 03:00:00
10	1.736	2019-01-20 01:00:00	0.2338024157150621	2019-01-22 22:00:00	-0.5	2019-01-23 04:00:00
11	1.729	2019-01-20 01:06:00	0.4048586687151367	2019-01-22 23:00:00	-0.7	2019-01-23 05:00:00
12	1.699	2019-01-20 01:12:00	0.4133444926963443	2019-01-23 00:00:00	-0.8	2019-01-23 06:00:00
13	1.673	2019-01-20 01:18:00	0.2994085609969051	2019-01-23 01:00:00	-0.6	2019-01-23 07:00:00
14	1.650	2019-01-20 01:24:00	0.1503454122438334	2019-01-23 02:00:00	-0.3	2019-01-23 08:00:00
15	1.621	2019-01-20 01:30:00	-0.0561498959423348	2019-01-23 03:00:00	-0.1	2019-01-23 09:00:00
16	1.604	2019-01-20 01:36:00	-0.2655956573740601	2019-01-23 04:00:00	0.2	2019-01-23 10:00:00
17	1.601	2019-01-20 01:42:00	-0.4127432765268972	2019-01-23 05:00:00	0.3	2019-01-23 11:00:00
18	1.601	2019-01-20 01:48:00	-0.3782471322563666	2019-01-23 06:00:00	0.3	2019-01-23 12:00:00
19	1.608	2019-01-20 01:54:00	-0.168957693995337	2019-01-23 07:00:00	0.3	2019-01-23 13:00:00
20	1.621	2019-01-20 02:00:00	0.06261965803597977	2019-01-23 08:00:00	0.1	2019-01-23 14:00:00
21	1.598	2019-01-20 02:06:00	0.2866327731572177	2019-01-23 09:00:00	0.0	2019-01-23 15:00:00
