	observed	Time_observed	ensemble_BISM2	Time_ensemble	ahps	Time_ahps
0	0.942	2019-01-20 00:00:00	-0.7187062149225918	2019-01-22 12:00:00	1.3	2019-01-22 18:00:00
1	0.965	2019-01-20 00:06:00	-0.8387971992874125	2019-01-22 13:00:00	1.7	2019-01-22 19:00:00
2	0.951	2019-01-20 00:12:00	-0.8652678288826412	2019-01-22 14:00:00	1.6	2019-01-22 20:00:00
3	0.978	2019-01-20 00:18:00	-0.6766335092824319	2019-01-22 15:00:00	1.2	2019-01-22 21:00:00
4	1.004	2019-01-20 00:24:00	-0.1417068328829605	2019-01-22 16:00:00	0.9	2019-01-22 22:00:00
5	1.030	2019-01-20 00:30:00	0.4441484640879194	2019-01-22 17:00:00	0.4	2019-01-22 23:00:00
6	1.060	2019-01-20 00:36:00	0.8487334724714746	2019-01-22 18:00:00	0.0	2019-01-23 00:00:00
7	1.106	2019-01-20 00:42:00	1.0162631653451315	2019-01-22 19:00:00	-0.4	2019-01-23 01:00:00
8	1.175	2019-01-20 00:48:00	0.952127520384447	2019-01-22 20:00:00	-0.5	2019-01-23 02:00:00
9	1.188	2019-01-20 00:54:00	0.6591403749297434	2019-01-22 21:00:00	-0.4	2019-01-23 03:00:00
10	1.240	2019-01-20 01:00:00	0.2871549502376822	2019-01-22 22:00:00	0.2	2019-01-23 04:00:00
11	1.293	2019-01-20 01:06:00	-0.06650247283632847	2019-01-22 23:00:00	0.9	2019-01-23 05:00:00
12	1.309	2019-01-20 01:12:00	-0.36390363940844017	2019-01-23 00:00:00	1.6	2019-01-23 06:00:00
13	1.332	2019-01-20 01:18:00	-0.5602456208114371	2019-01-23 01:00:00	1.8	2019-01-23 07:00:00
14	1.453	2019-01-20 01:24:00	-0.6185495797187295	2019-01-23 02:00:00	2.0	2019-01-23 08:00:00
15	1.539	2019-01-20 01:30:00	-0.5166208768908654	2019-01-23 03:00:00	1.7	2019-01-23 09:00:00
16	1.591	2019-01-20 01:36:00	-0.12129729679946344	2019-01-23 04:00:00	1.3	2019-01-23 10:00:00
17	1.627	2019-01-20 01:42:00	0.3614734431465662	2019-01-23 05:00:00	0.9	2019-01-23 11:00:00
18	1.709	2019-01-20 01:48:00	0.9032171948288713	2019-01-23 06:00:00	0.5	2019-01-23 12:00:00
19	1.765	2019-01-20 01:54:00	1.195978129977232	2019-01-23 07:00:00	0.1	2019-01-23 13:00:00
20	1.837	2019-01-20 02:00:00	1.2159824385103921	2019-01-23 08:00:00	-0.1	2019-01-23 14:00:00
21	1.900	2019-01-20 02:06:00	1.0105657798095005	2019-01-23 09:00:00	0.0	2019-01-23 15:00:00
22	1.965	2019-01-20 02:12:00	0.6189103017890158	2019-01-23 10:00:00	0.4	2019-01-23 16:00:00
23	2.031	2019-01-20 02:18:00	0.13441956829829244	2019-01-23 11:00:00	1.1	2019-01-23 17:00:00
24	2.080	2019-01-20 02:24:00	-0.17381786458231813	2019-01-23 12:00:00	1.9	2019-01-23 18:00:00
25	2.146	2019-01-20 02:30:00	-0.39670199144150475	2019-01-23 13:00:00	2.4	2019-01-23 19:00:00
26	2.169	2019-01-20 02:36:00	-0.5090961102146855	2019-01-23 14:00:00	2.5	2019-01-23 20:00:00
27	2.192	2019-01-20 02:42:00	-0.444527226428599	2019-01-23 15:00:00	2.5	2019-01-23 21:00:00
28	2.280	2019-01-20 02:48:00	-0.057226539462912215	2019-01-23 16:00:00	2.1	2019-01-23 22:00:00
29	2.408	2019-01-20 02:54:00	0.6317000448188823	2019-01-23 17:00:00	1.8	2019-01-23 23:00:00
30	2.441	2019-01-20 03:00:00	1.240382210692121	2019-01-23 18:00:00	1.3	2019-01-24 00:00:00
31	2.464	2019-01-20 03:06:00	1.6051321445217397	2019-01-23 19:00:00	0.9	2019-01-24 01:00:00
32	2.493	2019-01-20 03:12:00	1.7507256283769728	2019-01-23 20:00:00	0.6	2019-01-24 02:00:00
33	2.592	2019-01-20 03:18:00	1.7178572812529063	2019-01-23 21:00:00	0.5	2019-01-24 03:00:00
34	2.641	2019-01-20 03:24:00	1.4619399573472178	2019-01-23 22:00:00	0.7	2019-01-24 04:00:00
35	2.694	2019-01-20 03:30:00	1.0387314604871891	2019-01-23 23:00:00	1.1	2019-01-24 05:00:00
36	2.700	2019-01-20 03:36:00	0.5585185626268706	2019-01-24 00:00:00	1.8	2019-01-24 06:00:00
37	2.723	2019-01-20 03:42:00	0.17276834767630259	2019-01-24 01:00:00	2.4	2019-01-24 07:00:00
38	2.776	2019-01-20 03:48:00	-0.065592938206718	2019-01-24 02:00:00	2.7	2019-01-24 08:00:00
39	2.822	2019-01-20 03:54:00	-0.08817011271651644	2019-01-24 03:00:00	2.7	2019-01-24 09:00:00
40	2.851	2019-01-20 04:00:00	0.13818162512003768	2019-01-24 04:00:00	2.5	2019-01-24 10:00:00
41	2.890	2019-01-20 04:06:00	0.6689571674006725	2019-01-24 05:00:00	2.2	2019-01-24 11:00:00
42	2.897	2019-01-20 04:12:00	1.3380370731616666	2019-01-24 06:00:00	1.8	2019-01-24 12:00:00
43	2.946	2019-01-20 04:18:00	1.7539884977098001	2019-01-24 07:00:00	1.4	2019-01-24 13:00:00
44	2.966	2019-01-20 04:24:00	1.9805162080834997	2019-01-24 08:00:00	1.0	2019-01-24 14:00:00
45	2.986	2019-01-20 04:30:00	2.0407184323281666	2019-01-24 09:00:00	0.6	2019-01-24 15:00:00
46	2.995	2019-01-20 04:36:00	1.9353289555632331	2019-01-24 10:00:00	0.3	2019-01-24 16:00:00
47	3.009	2019-01-20 04:42:00	1.6251207239829333	2019-01-24 11:00:00	0.5	2019-01-24 17:00:00
48	3.035	2019-01-20 04:48:00	1.1769771191782334	2019-01-24 12:00:00	1.1	2019-01-24 18:00:00
49	3.035	2019-01-20 04:54:00	0.7457577234796199	2019-01-24 13:00:00	1.7	2019-01-24 19:00:00
50	3.041	2019-01-20 05:00:00	0.38512984431887665	2019-01-24 14:00:00	2.0	2019-01-24 20:00:00
51	3.048	2019-01-20 05:06:00	0.2207477176403667	2019-01-24 15:00:00	2.1	2019-01-24 21:00:00
52	3.058	2019-01-20 05:12:00	0.29202007029539995	2019-01-24 16:00:00	1.8	2019-01-24 22:00:00
53	3.064	2019-01-20 05:18:00	0.6341907538392667	2019-01-24 17:00:00	1.4	2019-01-24 23:00:00
54	3.071	2019-01-20 05:24:00	1.2324130189017335	2019-01-24 18:00:00	0.9	2019-01-25 00:00:00
55	3.061	2019-01-20 05:30:00	1.7301919427827668	2019-01-24 19:00:00	0.4	2019-01-25 01:00:00
56	3.061	2019-01-20 05:36:00	1.9728918079116333	2019-01-24 20:00:00	0.0	2019-01-25 02:00:00
