	observed	Time_observed	ensemble_BLTM2	Time_ensemble	ahps	Time_ahps
0	2.346	2019-01-20 00:00:00	-0.2966576614212026	2019-01-22 12:00:00	-1.6	2019-01-22 18:00:00
1	2.326	2019-01-20 00:06:00	-0.36978455097251284	2019-01-22 13:00:00	-1.5	2019-01-22 19:00:00
2	2.296	2019-01-20 00:12:00	-0.5687391286938351	2019-01-22 14:00:00	-1.3	2019-01-22 20:00:00
3	2.267	2019-01-20 00:18:00	-0.8057193182276278	2019-01-22 15:00:00	-0.9	2019-01-22 21:00:00
4	2.234	2019-01-20 00:24:00	-1.0406429968272068	2019-01-22 16:00:00	-0.4	2019-01-22 22:00:00
5	2.211	2019-01-20 00:30:00	-1.2188254234537776	2019-01-22 17:00:00	0.1	2019-01-22 23:00:00
6	2.191	2019-01-20 00:36:00	-1.2491170405692902	2019-01-22 18:00:00	0.4	2019-01-23 00:00:00
7	2.172	2019-01-20 00:42:00	-1.1033996795124936	2019-01-22 19:00:00	0.5	2019-01-23 01:00:00
8	2.159	2019-01-20 00:48:00	-0.7526588475257653	2019-01-22 20:00:00	0.4	2019-01-23 02:00:00
9	2.152	2019-01-20 00:54:00	-0.36458579569991717	2019-01-22 21:00:00	0.2	2019-01-23 03:00:00
10	2.129	2019-01-20 01:00:00	0.07254347099911257	2019-01-22 22:00:00	-0.1	2019-01-23 04:00:00
11	2.099	2019-01-20 01:06:00	0.4707504411812541	2019-01-22 23:00:00	-0.5	2019-01-23 05:00:00
12	2.090	2019-01-20 01:12:00	0.7159162526573211	2019-01-23 00:00:00	-0.8	2019-01-23 06:00:00
13	2.067	2019-01-20 01:18:00	0.8033941258546505	2019-01-23 01:00:00	-0.8	2019-01-23 07:00:00
14	2.050	2019-01-20 01:24:00	0.7283151703157869	2019-01-23 02:00:00	-0.8	2019-01-23 08:00:00
15	2.040	2019-01-20 01:30:00	0.4726115719826984	2019-01-23 03:00:00	-0.6	2019-01-23 09:00:00
16	2.014	2019-01-20 01:36:00	0.1909451660412184	2019-01-23 04:00:00	-0.3	2019-01-23 10:00:00
17	1.994	2019-01-20 01:42:00	-0.07193948407247558	2019-01-23 05:00:00	0.0	2019-01-23 11:00:00
18	1.965	2019-01-20 01:48:00	-0.2610145999526815	2019-01-23 06:00:00	0.3	2019-01-23 12:00:00
