	observed	Time_observed	ensemble_CBBV2	Time_ensemble
0	3.602	2019-01-20 00:00:00	1.7654030099727223	2019-01-22 12:00:00
1	3.570	2019-01-20 00:06:00	2.4747479571539106	2019-01-22 13:00:00
2	3.602	2019-01-20 00:12:00	2.6972770775148533	2019-01-22 14:00:00
3	3.514	2019-01-20 00:18:00	2.3399749132186836	2019-01-22 15:00:00
4	3.488	2019-01-20 00:24:00	1.6270265195862152	2019-01-22 16:00:00
5	3.488	2019-01-20 00:30:00	0.710585060392665	2019-01-22 17:00:00
6	3.461	2019-01-20 00:36:00	-0.21763723503647656	2019-01-22 18:00:00
7	3.419	2019-01-20 00:42:00	-1.0267863182801715	2019-01-22 19:00:00
8	3.412	2019-01-20 00:48:00	-1.4338344868743698	2019-01-22 20:00:00
9	3.373	2019-01-20 00:54:00	-1.3582272781746878	2019-01-22 21:00:00
10	3.330	2019-01-20 01:00:00	-0.8393045969186057	2019-01-22 22:00:00
11	3.346	2019-01-20 01:06:00	-0.02214069333726934	2019-01-22 23:00:00
12	3.307	2019-01-20 01:12:00	0.8591069866725123	2019-01-23 00:00:00
13	3.320	2019-01-20 01:18:00	1.5384667737689017	2019-01-23 01:00:00
14	3.235	2019-01-20 01:24:00	1.8610651188845624	2019-01-23 02:00:00
15	3.146	2019-01-20 01:30:00	1.7733601939790304	2019-01-23 03:00:00
16	3.202	2019-01-20 01:36:00	1.267491865315244	2019-01-23 04:00:00
17	3.117	2019-01-20 01:42:00	0.5889936019580922	2019-01-23 05:00:00
18	3.054	2019-01-20 01:48:00	-0.229137179751194	2019-01-23 06:00:00
19	3.022	2019-01-20 01:54:00	-0.9297047534677868	2019-01-23 07:00:00
20	2.953	2019-01-20 02:00:00	-1.364574832754334	2019-01-23 08:00:00
21	2.887	2019-01-20 02:06:00	-1.375394183383892	2019-01-23 09:00:00
22	2.762	2019-01-20 02:12:00	-0.883755525641658	2019-01-23 10:00:00
23	2.743	2019-01-20 02:18:00	0.0006794055240719465	2019-01-23 11:00:00
24	2.589	2019-01-20 02:24:00	1.0174142113611278	2019-01-23 12:00:00
25	2.562	2019-01-20 02:30:00	1.8705079555009672	2019-01-23 13:00:00
26	2.474	2019-01-20 02:36:00	2.415473203313321	2019-01-23 14:00:00
27	2.421	2019-01-20 02:42:00	2.510474366900756	2019-01-23 15:00:00
28	2.293	2019-01-20 02:48:00	2.2284626370997453	2019-01-23 16:00:00
29	2.205	2019-01-20 02:54:00	1.5871545782455456	2019-01-23 17:00:00
30	2.090	2019-01-20 03:00:00	0.6789295265252941	2019-01-23 18:00:00
31	1.949	2019-01-20 03:06:00	-0.26338225183746083	2019-01-23 19:00:00
32	1.886	2019-01-20 03:12:00	-0.9824297355168443	2019-01-23 20:00:00
33	1.765	2019-01-20 03:18:00	-1.3221039808372268	2019-01-23 21:00:00
34	1.683	2019-01-20 03:24:00	-1.1578164328457978	2019-01-23 22:00:00
35	1.624	2019-01-20 03:30:00	-0.592818377902762	2019-01-23 23:00:00
36	1.509	2019-01-20 03:36:00	0.22342305841173937	2019-01-24 00:00:00
37	1.470	2019-01-20 03:42:00	1.0391334794772384	2019-01-24 01:00:00
38	1.385	2019-01-20 03:48:00	1.6224289355386508	2019-01-24 02:00:00
39	1.335	2019-01-20 03:54:00	1.8702599830562714	2019-01-24 03:00:00
40	1.289	2019-01-20 04:00:00	1.7510834410254819	2019-01-24 04:00:00
41	1.184	2019-01-20 04:06:00	1.317475525740921	2019-01-24 05:00:00
42	1.129	2019-01-20 04:12:00	0.4829382135567	2019-01-24 06:00:00
43	1.089	2019-01-20 04:18:00	-0.3713633831407666	2019-01-24 07:00:00
44	1.086	2019-01-20 04:24:00	-1.0922864064327333	2019-01-24 08:00:00
45	1.027	2019-01-20 04:30:00	-1.4895506981876334	2019-01-24 09:00:00
46	0.988	2019-01-20 04:36:00	-1.4801221193520668	2019-01-24 10:00:00
47	0.974	2019-01-20 04:42:00	-1.0124425545804334	2019-01-24 11:00:00
48	0.909	2019-01-20 04:48:00	-0.27098053276030004	2019-01-24 12:00:00
49	0.902	2019-01-20 04:54:00	0.6094377180296033	2019-01-24 13:00:00
50	0.837	2019-01-20 05:00:00	1.4032496316739003	2019-01-24 14:00:00
51	0.817	2019-01-20 05:06:00	1.8716850512677	2019-01-24 15:00:00
52	0.833	2019-01-20 05:12:00	1.9973960842361	2019-01-24 16:00:00
53	0.794	2019-01-20 05:18:00	1.7555373566259667	2019-01-24 17:00:00
54	0.758	2019-01-20 05:24:00	1.2219110916100335	2019-01-24 18:00:00
55	0.778	2019-01-20 05:30:00	0.44072210782694327	2019-01-24 19:00:00
56	0.791	2019-01-20 05:36:00	-0.3722812519646667	2019-01-24 20:00:00
57	0.781	2019-01-20 05:42:00	-0.9759574117465665	2019-01-24 21:00:00
58	0.797	2019-01-20 05:48:00	-1.1693243223558667	2019-01-24 22:00:00
59	0.807	2019-01-20 05:54:00	-0.9130242542757001	2019-01-24 23:00:00
60	0.846	2019-01-20 06:00:00	-0.3222257455061333	2019-01-25 00:00:00
