	observed	Time_observed	ensemble_KPTV2	Time_ensemble	ahps	Time_ahps
0	3.397	2019-01-20 00:00:00	1.3052576973102057	2019-01-22 12:00:00	0.5	2019-01-22 18:00:00
1	3.355	2019-01-20 00:06:00	2.092654528284342	2019-01-22 13:00:00	-0.4	2019-01-22 19:00:00
2	3.338	2019-01-20 00:12:00	2.4640988746525956	2019-01-22 14:00:00	-0.8	2019-01-22 20:00:00
3	3.335	2019-01-20 00:18:00	2.3420144288416433	2019-01-22 15:00:00	-1.0	2019-01-22 21:00:00
4	3.302	2019-01-20 00:24:00	1.80320897849849	2019-01-22 16:00:00	-0.4	2019-01-22 22:00:00
5	3.289	2019-01-20 00:30:00	1.002253915555376	2019-01-22 17:00:00	0.2	2019-01-22 23:00:00
6	3.309	2019-01-20 00:36:00	0.10910073338990944	2019-01-22 18:00:00	1.2	2019-01-23 00:00:00
7	3.289	2019-01-20 00:42:00	-0.6625612723377652	2019-01-22 19:00:00	2.0	2019-01-23 01:00:00
8	3.266	2019-01-20 00:48:00	-1.1477841278969316	2019-01-22 20:00:00	2.6	2019-01-23 02:00:00
9	3.22	2019-01-20 00:54:00	-1.2426685249688894	2019-01-22 21:00:00	2.7	2019-01-23 03:00:00
10	3.165	2019-01-20 01:00:00	-0.9446017494045147	2019-01-22 22:00:00	2.3	2019-01-23 04:00:00
11	3.171	2019-01-20 01:06:00	-0.2324648801432228	2019-01-22 23:00:00	1.7	2019-01-23 05:00:00
12	3.174	2019-01-20 01:12:00	0.6815543972682367	2019-01-23 00:00:00	0.8	2019-01-23 06:00:00
13	3.168	2019-01-20 01:18:00	1.4331883289494185	2019-01-23 01:00:00	0.0	2019-01-23 07:00:00
14	3.138	2019-01-20 01:24:00	1.8646977714251358	2019-01-23 02:00:00	-0.6	2019-01-23 08:00:00
15	3.083	2019-01-20 01:30:00	1.9361390688115179	2019-01-23 03:00:00	-0.8	2019-01-23 09:00:00
16	3.023	2019-01-20 01:36:00	1.6302507567779838	2019-01-23 04:00:00	-0.5	2019-01-23 10:00:00
17	2.974	2019-01-20 01:42:00	1.045462365989915	2019-01-23 05:00:00	0.2	2019-01-23 11:00:00
18	2.925	2019-01-20 01:48:00	0.29392621775530137	2019-01-23 06:00:00	1.2	2019-01-23 12:00:00
19	2.856	2019-01-20 01:54:00	-0.41787948531749336	2019-01-23 07:00:00	2.1	2019-01-23 13:00:00
20	2.84	2019-01-20 02:00:00	-0.9403391557252617	2019-01-23 08:00:00	2.8	2019-01-23 14:00:00
21	2.804	2019-01-20 02:06:00	-1.136769459005443	2019-01-23 09:00:00	3.1	2019-01-23 15:00:00
22	2.745	2019-01-20 02:12:00	-0.8800799357420158	2019-01-23 10:00:00	2.9	2019-01-23 16:00:00
23	2.712	2019-01-20 02:18:00	-0.1449795627493581	2019-01-23 11:00:00	2.3	2019-01-23 17:00:00
24	2.607	2019-01-20 02:24:00	0.8504087043450016	2019-01-23 12:00:00	1.5	2019-01-23 18:00:00
25	2.558	2019-01-20 02:30:00	1.7332933137918232	2019-01-23 13:00:00	0.6	2019-01-23 19:00:00
26	2.482	2019-01-20 02:36:00	2.353308251383785	2019-01-23 14:00:00	-0.2	2019-01-23 20:00:00
27	2.38	2019-01-20 02:42:00	2.5881656611621726	2019-01-23 15:00:00	-0.7	2019-01-23 21:00:00
28	2.348	2019-01-20 02:48:00	2.477799012944447	2019-01-23 16:00:00	-0.7	2019-01-23 22:00:00
29	2.243	2019-01-20 02:54:00	2.0172120915600704	2019-01-23 17:00:00	-0.3	2019-01-23 23:00:00
30	2.118	2019-01-20 03:00:00	1.2915780284505876	2019-01-23 18:00:00	0.4	2019-01-24 00:00:00
31	2.079	2019-01-20 03:06:00	0.3928447751166712	2019-01-23 19:00:00	1.2	2019-01-24 01:00:00
32	1.993	2019-01-20 03:12:00	-0.39414625763966354	2019-01-23 20:00:00	2.0	2019-01-24 02:00:00
33	1.911	2019-01-20 03:18:00	-0.8534498961412337	2019-01-23 21:00:00	2.4	2019-01-24 03:00:00
34	1.806	2019-01-20 03:24:00	-0.8915862709086553	2019-01-23 22:00:00	2.4	2019-01-24 04:00:00
35	1.718	2019-01-20 03:30:00	-0.5100730269786724	2019-01-23 23:00:00	2.0	2019-01-24 05:00:00
36	1.619	2019-01-20 03:36:00	0.23165712778465117	2019-01-24 00:00:00	1.3	2019-01-24 06:00:00
37	1.557	2019-01-20 03:42:00	1.0755974365326824	2019-01-24 01:00:00	0.5	2019-01-24 07:00:00
38	1.475	2019-01-20 03:48:00	1.7285321487450471	2019-01-24 02:00:00	-0.3	2019-01-24 08:00:00
39	1.422	2019-01-20 03:54:00	2.0920860719034575	2019-01-24 03:00:00	-0.8	2019-01-24 09:00:00
40	1.373	2019-01-20 04:00:00	2.1120196166167644	2019-01-24 04:00:00	-1.0	2019-01-24 10:00:00
41	1.294	2019-01-20 04:06:00	1.7933470442299724	2019-01-24 05:00:00	-0.7	2019-01-24 11:00:00
42	1.239	2019-01-20 04:12:00	1.1763705890031	2019-01-24 06:00:00	0.0	2019-01-24 12:00:00
43	1.124	2019-01-20 04:18:00	0.38273877613961677	2019-01-24 07:00:00	0.9	2019-01-24 13:00:00
44	1.062	2019-01-20 04:24:00	-0.3843147682329667	2019-01-24 08:00:00	1.8	2019-01-24 14:00:00
45	0.996	2019-01-20 04:30:00	-0.8870038788098666	2019-01-24 09:00:00	2.4	2019-01-24 15:00:00
46	0.957	2019-01-20 04:36:00	-0.9963870544917334	2019-01-24 10:00:00	2.7	2019-01-24 16:00:00
47	0.953	2019-01-20 04:42:00	-0.6946574275920333	2019-01-24 11:00:00	2.4	2019-01-24 17:00:00
48	0.94	2019-01-20 04:48:00	-0.01492319428393333	2019-01-24 12:00:00	1.8	2019-01-24 18:00:00
49	0.861	2019-01-20 04:54:00	0.8355090026486067	2019-01-24 13:00:00	1.1	2019-01-24 19:00:00
50	0.806	2019-01-20 05:00:00	1.6509907992774666	2019-01-24 14:00:00	0.2	2019-01-24 20:00:00
51	0.773	2019-01-20 05:06:00	2.2672648881670336	2019-01-24 15:00:00	-0.4	2019-01-24 21:00:00
52	0.773	2019-01-20 05:12:00	2.4793933671146666	2019-01-24 16:00:00	-0.6	2019-01-24 22:00:00
53	0.724	2019-01-20 05:18:00	2.2928976154066665	2019-01-24 17:00:00	-0.3	2019-01-24 23:00:00
54	0.651	2019-01-20 05:24:00	1.8247781186587335	2019-01-24 18:00:00	0.2	2019-01-25 00:00:00
55	0.612	2019-01-20 05:30:00	1.0790988789529667	2019-01-24 19:00:00	1.0	2019-01-25 01:00:00
56	0.602	2019-01-20 05:36:00	0.26428758561266996	2019-01-24 20:00:00	1.7	2019-01-25 02:00:00
57	0.609	2019-01-20 05:42:00	-0.33321111124996666	2019-01-24 21:00:00	2.5	2019-01-25 03:00:00
58	0.619	2019-01-20 05:48:00	-0.6318177219431	2019-01-24 22:00:00	3.0	2019-01-25 04:00:00
59	0.602	2019-01-20 05:54:00	-0.5731562145319333	2019-01-24 23:00:00	3.1	2019-01-25 05:00:00
60	0.609	2019-01-20 06:00:00	-0.19693608611599997	2019-01-25 00:00:00	2.7	2019-01-25 06:00:00
61	0.589	2019-01-20 06:06:00	0.49053845126870993	2019-01-25 01:00:00	2.0	2019-01-25 07:00:00
62	0.599	2019-01-20 06:12:00	1.3240325673908002	2019-01-25 02:00:00	1.1	2019-01-25 08:00:00
63	0.609	2019-01-20 06:18:00	1.9716455445767334	2019-01-25 03:00:00	0.4	2019-01-25 09:00:00
64	0.651	2019-01-20 06:24:00	2.3160739308580003	2019-01-25 04:00:00	-0.1	2019-01-25 10:00:00
65	0.668	2019-01-20 06:30:00	2.304830436239733	2019-01-25 05:00:00	-0.2	2019-01-25 11:00:00
66	0.701	2019-01-20 06:36:00	1.8942603406616332	2019-01-25 06:00:00	0.1	2019-01-25 12:00:00
67	0.73	2019-01-20 06:42:00	1.1944172016129666	2019-01-25 07:00:00	0.7	2019-01-25 13:00:00
68	0.727	2019-01-20 06:48:00	0.4398540268441667	2019-01-25 08:00:00		
69	0.756	2019-01-20 06:54:00	-0.24601907552906666	2019-01-25 09:00:00		
70	0.796	2019-01-20 07:00:00	-0.6549725840289333	2019-01-25 10:00:00		
71	0.842	2019-01-20 07:06:00	-0.7421016862021	2019-01-25 11:00:00		
72	0.852	2019-01-20 07:12:00	-0.487129205269	2019-01-25 12:00:00		
73	0.927	2019-01-20 07:18:00	0.07849771625736668	2019-01-25 13:00:00		
74	0.937	2019-01-20 07:24:00	0.9100941470033934	2019-01-25 14:00:00		
75	1.052	2019-01-20 07:30:00	1.5829934963367664	2019-01-25 15:00:00		
76	1.153	2019-01-20 07:36:00	2.0047296859944	2019-01-25 16:00:00		
77	1.239	2019-01-20 07:42:00	2.0697299833287333	2019-01-25 17:00:00		
78	1.311	2019-01-20 07:48:00	1.8463423786946331	2019-01-25 18:00:00		
79	1.419	2019-01-20 07:54:00	1.6190000000000002	2019-01-25 19:00:00		
80	1.495	2019-01-20 08:00:00	0.9245000000000001	2019-01-25 20:00:00		
81	1.632	2019-01-20 08:06:00	0.213	2019-01-25 21:00:00		
82	1.721	2019-01-20 08:12:00	-0.302	2019-01-25 22:00:00		
83	1.737	2019-01-20 08:18:00	-0.549	2019-01-25 23:00:00		
84	1.826	2019-01-20 08:24:00				
85	1.941	2019-01-20 08:30:00				
86	2.072	2019-01-20 08:36:00				
87	2.19	2019-01-20 08:42:00				
88	2.298	2019-01-20 08:48:00				
89	2.354	2019-01-20 08:54:00				
90	2.456	2019-01-20 09:00:00				
91	2.512	2019-01-20 09:06:00				
92	2.666	2019-01-20 09:12:00				
93	2.794	2019-01-20 09:18:00				
94	2.882	2019-01-20 09:24:00				
95	2.951	2019-01-20 09:30:00				
96	3.096	2019-01-20 09:36:00				
97	3.201	2019-01-20 09:42:00				
98	3.296	2019-01-20 09:48:00				
99	3.365	2019-01-20 09:54:00				
100	3.411	2019-01-20 10:00:00				
101	3.424	2019-01-20 10:06:00				
102	3.634	2019-01-20 10:12:00				
103	3.716	2019-01-20 10:18:00				
104	3.85	2019-01-20 10:24:00				
105	3.84	2019-01-20 10:30:00				
106	3.929	2019-01-20 10:36:00				
107	3.995	2019-01-20 10:42:00				
108	4.067	2019-01-20 10:48:00				
109	4.139	2019-01-20 10:54:00				
110	4.142	2019-01-20 11:00:00				
111	4.188	2019-01-20 11:06:00				
112	4.237	2019-01-20 11:12:00				
113	4.3	2019-01-20 11:18:00				
114	4.326	2019-01-20 11:24:00				
115	4.365	2019-01-20 11:30:00				
116	4.339	2019-01-20 11:36:00				
117	4.428	2019-01-20 11:42:00				
118	4.625	2019-01-20 11:48:00				
119	4.644	2019-01-20 11:54:00				
120	4.661	2019-01-20 12:00:00				
121	4.608	2019-01-20 12:06:00				
122	4.549	2019-01-20 12:12:00				
123	4.497	2019-01-20 12:18:00				
124	4.5	2019-01-20 12:24:00				
125	4.49	2019-01-20 12:30:00				
126	4.549	2019-01-20 12:36:00				
127	4.52	2019-01-20 12:42:00				
128	4.542	2019-01-20 12:48:00				
129	4.47	2019-01-20 12:54:00				
130	4.405	2019-01-20 13:00:00				
131	4.319	2019-01-20 13:06:00				
132	4.27	2019-01-20 13:12:00				
133	4.191	2019-01-20 13:18:00				
134	4.159	2019-01-20 13:24:00				
135	4.123	2019-01-20 13:30:00				
136	4.001	2019-01-20 13:36:00				
137	3.952	2019-01-20 13:42:00				
138	3.873	2019-01-20 13:48:00				
139	3.794	2019-01-20 13:54:00				
140	3.722	2019-01-20 14:00:00				
141	3.693	2019-01-20 14:06:00				
142	3.735	2019-01-20 14:12:00				
143	3.716	2019-01-20 14:18:00				
144	3.621	2019-01-20 14:24:00				
145	3.519	2019-01-20 14:30:00				
146	3.388	2019-01-20 14:36:00				
147	3.338	2019-01-20 14:42:00				
148	3.283	2019-01-20 14:48:00				
149	3.243	2019-01-20 14:54:00				
150	3.191	2019-01-20 15:00:00				
151	3.083	2019-01-20 15:06:00				
152	3.037	2019-01-20 15:12:00				
153	2.987	2019-01-20 15:18:00				
154	2.863	2019-01-20 15:24:00				
155	2.748	2019-01-20 15:30:00				
156	2.636	2019-01-20 15:36:00				
157	2.561	2019-01-20 15:42:00				
158	2.485	2019-01-20 15:48:00				
159	2.436	2019-01-20 15:54:00				
160	2.367	2019-01-20 16:00:00				
161	2.226	2019-01-20 16:06:00				
162	2.102	2019-01-20 16:12:00				
163	1.99	2019-01-20 16:18:00				
164	1.888	2019-01-20 16:24:00				
165	1.878	2019-01-20 16:30:00				
166	1.878	2019-01-20 16:36:00				
167	1.81	2019-01-20 16:42:00				
168	1.75	2019-01-20 16:48:00				
169	1.623	2019-01-20 16:54:00				
170	1.603	2019-01-20 17:00:00				
171	1.567	2019-01-20 17:06:00				
172	1.527	2019-01-20 17:12:00				
173	1.541	2019-01-20 17:18:00				
174	1.531	2019-01-20 17:24:00				
175	1.577	2019-01-20 17:30:00				
176	1.57	2019-01-20 17:36:00				
177	1.508	2019-01-20 17:42:00				
178	1.462	2019-01-20 17:48:00				
