	observed	Time_observed	ensemble_SLIM2	Time_ensemble	ahps	Time_ahps
0	1.141	2019-01-20 00:00:00	-1.0222461584302969	2019-01-22 12:00:00	0.0	2019-01-22 18:00:00
1	1.125	2019-01-20 00:06:00	-1.1698925808593186	2019-01-22 13:00:00	0.3	2019-01-22 19:00:00
2	1.138	2019-01-20 00:12:00	-1.2166779499018698	2019-01-22 14:00:00	0.4	2019-01-22 20:00:00
3	1.138	2019-01-20 00:18:00	-1.0639062950073812	2019-01-22 15:00:00	0.4	2019-01-22 21:00:00
4	1.148	2019-01-20 00:24:00	-0.6826664424021557	2019-01-22 16:00:00	0.2	2019-01-22 22:00:00
5	1.148	2019-01-20 00:30:00	-0.26295880010393335	2019-01-22 17:00:00	-0.1	2019-01-22 23:00:00
6	1.138	2019-01-20 00:36:00	0.06353323911834105	2019-01-22 18:00:00	-0.5	2019-01-23 00:00:00
7	1.148	2019-01-20 00:42:00	0.31941730158989473	2019-01-22 19:00:00	-0.7	2019-01-23 01:00:00
8	1.187	2019-01-20 00:48:00	0.40800589788261266	2019-01-22 20:00:00	-0.9	2019-01-23 02:00:00
9	1.201	2019-01-20 00:54:00	0.3184150369519225	2019-01-22 21:00:00	-1.0	2019-01-23 03:00:00
10	1.237	2019-01-20 01:00:00	0.1038100303210097	2019-01-22 22:00:00	-0.7	2019-01-23 04:00:00
11	1.276	2019-01-20 01:06:00	-0.16900785430045767	2019-01-22 23:00:00	-0.4	2019-01-23 05:00:00
12	1.315	2019-01-20 01:12:00	-0.4069546051482533	2019-01-23 00:00:00	0.0	2019-01-23 06:00:00
13	1.345	2019-01-20 01:18:00	-0.5781286556428865	2019-01-23 01:00:00	0.4	2019-01-23 07:00:00
14	1.378	2019-01-20 01:24:00	-0.6744471275363119	2019-01-23 02:00:00	0.6	2019-01-23 08:00:00
15	1.391	2019-01-20 01:30:00	-0.6189413065540326	2019-01-23 03:00:00	0.5	2019-01-23 09:00:00
16	1.443	2019-01-20 01:36:00	-0.3018260367307605	2019-01-23 04:00:00	0.4	2019-01-23 10:00:00
17	1.496	2019-01-20 01:42:00	0.0536998303600916	2019-01-23 05:00:00	0.1	2019-01-23 11:00:00
18	1.522	2019-01-20 01:48:00	0.3440267840959574	2019-01-23 06:00:00	-0.4	2019-01-23 12:00:00
19	1.584	2019-01-20 01:54:00	0.5522445595439511	2019-01-23 07:00:00	-0.6	2019-01-23 13:00:00
20	1.624	2019-01-20 02:00:00	0.6555167206695927	2019-01-23 08:00:00	-0.8	2019-01-23 14:00:00
21	1.666	2019-01-20 02:06:00	0.6103684344301773	2019-01-23 09:00:00	-0.7	2019-01-23 15:00:00
22	1.693	2019-01-20 02:12:00	0.4222026900808399	2019-01-23 10:00:00	-0.4	2019-01-23 16:00:00
23	1.725	2019-01-20 02:18:00	0.1377782250664633	2019-01-23 11:00:00	-0.1	2019-01-23 17:00:00
24	1.748	2019-01-20 02:24:00	-0.15498265895984625	2019-01-23 12:00:00	0.6	2019-01-23 18:00:00
25	1.794	2019-01-20 02:30:00	-0.3742363101942664	2019-01-23 13:00:00	0.9	2019-01-23 19:00:00
26	1.844	2019-01-20 02:36:00	-0.5059574812891984	2019-01-23 14:00:00	1.3	2019-01-23 20:00:00
27	1.906	2019-01-20 02:42:00	-0.43941763678855494	2019-01-23 15:00:00	1.5	2019-01-23 21:00:00
28	1.955	2019-01-20 02:48:00	-0.14277796623244235	2019-01-23 16:00:00	1.4	2019-01-23 22:00:00
29	2.004	2019-01-20 02:54:00	0.2375784944718524	2019-01-23 17:00:00	1.3	2019-01-23 23:00:00
30	2.017	2019-01-20 03:00:00	0.5926635115735692	2019-01-23 18:00:00	1.2	2019-01-24 00:00:00
31	2.06	2019-01-20 03:06:00	0.8787913917509617	2019-01-23 19:00:00	0.8	2019-01-24 01:00:00
32	2.086	2019-01-20 03:12:00	1.1056624619701565	2019-01-23 20:00:00	0.6	2019-01-24 02:00:00
33	2.119	2019-01-20 03:18:00	1.1759212923826976	2019-01-23 21:00:00	0.5	2019-01-24 03:00:00
34	2.149	2019-01-20 03:24:00	1.1314755261799372	2019-01-23 22:00:00	0.6	2019-01-24 04:00:00
35	2.185	2019-01-20 03:30:00	0.9069887634283905	2019-01-23 23:00:00	0.9	2019-01-24 05:00:00
36	2.195	2019-01-20 03:36:00	0.601538451608272	2019-01-24 00:00:00	1.3	2019-01-24 06:00:00
37	2.218	2019-01-20 03:42:00	0.3405080241124046	2019-01-24 01:00:00	1.8	2019-01-24 07:00:00
38	2.227	2019-01-20 03:48:00	0.16794687000361452	2019-01-24 02:00:00	2.2	2019-01-24 08:00:00
39	2.247	2019-01-20 03:54:00	0.08265799197308035	2019-01-24 03:00:00	2.3	2019-01-24 09:00:00
40	2.28	2019-01-20 04:00:00	0.18202751292208474	2019-01-24 04:00:00	2.2	2019-01-24 10:00:00
41	2.329	2019-01-20 04:06:00	0.5056540406578297	2019-01-24 05:00:00	2.1	2019-01-24 11:00:00
42	2.369	2019-01-20 04:12:00	0.8603756422838668	2019-01-24 06:00:00	1.8	2019-01-24 12:00:00
43	2.405	2019-01-20 04:18:00	1.1331269710376	2019-01-24 07:00:00	1.4	2019-01-24 13:00:00
44	2.441	2019-01-20 04:24:00	1.3562900291299667	2019-01-24 08:00:00	1.1	2019-01-24 14:00:00
45	2.447	2019-01-20 04:30:00	1.5144775975869333	2019-01-24 09:00:00	0.9	2019-01-24 15:00:00
46	2.457	2019-01-20 04:36:00	1.5178111160135999	2019-01-24 10:00:00	0.8	2019-01-24 16:00:00
47	2.47	2019-01-20 04:42:00	1.3671682903756668	2019-01-24 11:00:00	0.7	2019-01-24 17:00:00
48	2.477	2019-01-20 04:48:00	1.0794319001414001	2019-01-24 12:00:00	0.9	2019-01-24 18:00:00
49	2.493	2019-01-20 04:54:00	0.8370762722627334	2019-01-24 13:00:00	1.2	2019-01-24 19:00:00
50	2.506	2019-01-20 05:00:00	0.6114804297653033	2019-01-24 14:00:00	1.5	2019-01-24 20:00:00
51	2.533	2019-01-20 05:06:00	0.4535180474022141	2019-01-24 15:00:00	1.7	2019-01-24 21:00:00
52	2.546	2019-01-20 05:12:00	0.4253079718589667	2019-01-24 16:00:00	1.6	2019-01-24 22:00:00
53	2.556	2019-01-20 05:18:00	0.56368635774237	2019-01-24 17:00:00	1.5	2019-01-24 23:00:00
54	2.559	2019-01-20 05:24:00	0.8531244587486334	2019-01-24 18:00:00	1.1	2019-01-25 00:00:00
55	2.569	2019-01-20 05:30:00	1.1279280565984666	2019-01-24 19:00:00	0.8	2019-01-25 01:00:00
56	2.569	2019-01-20 05:36:00	1.3213619011926	2019-01-24 20:00:00	0.5	2019-01-25 02:00:00
57	2.565	2019-01-20 05:42:00	1.4134869452476335	2019-01-24 21:00:00	0.3	2019-01-25 03:00:00
58	2.565	2019-01-20 05:48:00	1.3380827888636668	2019-01-24 22:00:00	0.0	2019-01-25 04:00:00
59	2.562	2019-01-20 05:54:00	1.1091430127653334	2019-01-24 23:00:00	0.1	2019-01-25 05:00:00
60	2.562	2019-01-20 06:00:00	0.7758733458274	2019-01-25 00:00:00	0.3	2019-01-25 06:00:00
61	2.552	2019-01-20 06:06:00	0.46742783519906	2019-01-25 01:00:00	0.6	2019-01-25 07:00:00
62	2.556	2019-01-20 06:12:00	0.22397170249167334	2019-01-25 02:00:00	1.0	2019-01-25 08:00:00
63	2.549	2019-01-20 06:18:00	0.02315912606656	2019-01-25 03:00:00	1.3	2019-01-25 09:00:00
64	2.539	2019-01-20 06:24:00	-0.089400818708	2019-01-25 04:00:00	1.4	2019-01-25 10:00:00
65	2.529	2019-01-20 06:30:00	-0.0719819854516	2019-01-25 05:00:00	1.3	2019-01-25 11:00:00
66	2.516	2019-01-20 06:36:00	0.12485463781504669	2019-01-25 06:00:00	1.0	2019-01-25 12:00:00
67	2.5	2019-01-20 06:42:00	0.44547127242130663	2019-01-25 07:00:00	0.8	2019-01-25 13:00:00
68	2.496	2019-01-20 06:48:00	0.7160562900292667	2019-01-25 08:00:00		
69	2.48	2019-01-20 06:54:00	0.8928290808893333	2019-01-25 09:00:00		
70	2.477	2019-01-20 07:00:00	0.9715593223957999	2019-01-25 10:00:00		
71	2.444	2019-01-20 07:06:00	0.8290391193212999	2019-01-25 11:00:00		
72	2.411	2019-01-20 07:12:00	0.5517654971473334	2019-01-25 12:00:00		
73	2.391	2019-01-20 07:18:00	0.27596753113428335	2019-01-25 13:00:00		
74	2.372	2019-01-20 07:24:00	0.03580418967613334	2019-01-25 14:00:00		
75	2.342	2019-01-20 07:30:00	-0.15710284861593335	2019-01-25 15:00:00		
76	2.309	2019-01-20 07:36:00	-0.28329871035726667	2019-01-25 16:00:00		
77	2.277	2019-01-20 07:42:00	-0.28721318681453334	2019-01-25 17:00:00		
78	2.27	2019-01-20 07:48:00	-0.0918058102318	2019-01-25 18:00:00		
79	2.237	2019-01-20 07:54:00	0.3795	2019-01-25 19:00:00		
80	2.201	2019-01-20 08:00:00	0.669	2019-01-25 20:00:00		
81	2.145	2019-01-20 08:06:00	0.8454999999999999	2019-01-25 21:00:00		
82	2.126	2019-01-20 08:12:00	0.9714999999999999	2019-01-25 22:00:00		
83	2.096	2019-01-20 08:18:00	0.9530000000000001	2019-01-25 23:00:00		
84	2.077	2019-01-20 08:24:00				
85	2.044	2019-01-20 08:30:00				
86	2.014	2019-01-20 08:36:00				
87	1.978	2019-01-20 08:42:00				
88	1.955	2019-01-20 08:48:00				
89	1.919	2019-01-20 08:54:00				
90	1.886	2019-01-20 09:00:00				
91	1.85	2019-01-20 09:06:00				
92	1.814	2019-01-20 09:12:00				
93	1.788	2019-01-20 09:18:00				
94	1.752	2019-01-20 09:24:00				
95	1.719	2019-01-20 09:30:00				
96	1.693	2019-01-20 09:36:00				
97	1.663	2019-01-20 09:42:00				
98	1.64	2019-01-20 09:48:00				
99	1.601	2019-01-20 09:54:00				
100	1.565	2019-01-20 10:00:00				
101	1.529	2019-01-20 10:06:00				
102	1.493	2019-01-20 10:12:00				
103	1.476	2019-01-20 10:18:00				
104	1.44	2019-01-20 10:24:00				
105	1.414	2019-01-20 10:30:00				
106	1.381	2019-01-20 10:36:00				
107	1.342	2019-01-20 10:42:00				
108	1.338	2019-01-20 10:48:00				
109	1.319	2019-01-20 10:54:00				
110	1.292	2019-01-20 11:00:00				
111	1.276	2019-01-20 11:06:00				
112	1.26	2019-01-20 11:12:00				
113	1.233	2019-01-20 11:18:00				
114	1.21	2019-01-20 11:24:00				
115	1.191	2019-01-20 11:30:00				
116	1.181	2019-01-20 11:36:00				
117	1.194	2019-01-20 11:42:00				
118	1.197	2019-01-20 11:48:00				
119	1.214	2019-01-20 11:54:00				
120	1.227	2019-01-20 12:00:00				
121	1.263	2019-01-20 12:06:00				
