	observed	Time_observed	ensemble_WASD2	Time_ensemble	ahps	Time_ahps
0	4.073	2019-01-20 00:00:00	0.6855911322133333	2019-01-22 12:00:00	0.33	2019-01-22 18:00:00
1	4.047	2019-01-20 00:06:00	0.9616025535307333	2019-01-22 13:00:00	-0.07	2019-01-22 19:00:00
2	4.004	2019-01-20 00:12:00	0.9845242599466001	2019-01-22 14:00:00	-0.36	2019-01-22 20:00:00
3	3.965	2019-01-20 00:18:00	0.7023992798809667	2019-01-22 15:00:00	-0.69	2019-01-22 21:00:00
4	3.936	2019-01-20 00:24:00	0.3674228548676666	2019-01-22 16:00:00	-1.05	2019-01-22 22:00:00
5	3.893	2019-01-20 00:30:00	-0.03969584848046533	2019-01-22 17:00:00	-1.25	2019-01-22 23:00:00
6	3.840	2019-01-20 00:36:00	-0.4157711771994001	2019-01-22 18:00:00	-0.95	2019-01-23 00:00:00
7	3.794	2019-01-20 00:42:00	-0.7236512555920332	2019-01-22 19:00:00	-0.2	2019-01-23 01:00:00
8	3.752	2019-01-20 00:48:00	-0.83862863839	2019-01-22 20:00:00	0.46	2019-01-23 02:00:00
9	3.693	2019-01-20 00:54:00	-0.6393139579722	2019-01-22 21:00:00	0.66	2019-01-23 03:00:00
10	3.630	2019-01-20 01:00:00	-0.2887252555832333	2019-01-22 22:00:00	0.39	2019-01-23 04:00:00
11	3.578	2019-01-20 01:06:00	0.3256957045141334	2019-01-22 23:00:00	-0.1	2019-01-23 05:00:00
12	3.525	2019-01-20 01:12:00	0.9394906445858368	2019-01-23 00:00:00	-0.62	2019-01-23 06:00:00
13	3.473	2019-01-20 01:18:00	1.4087917208386669	2019-01-23 01:00:00	-1.02	2019-01-23 07:00:00
14	3.420	2019-01-20 01:24:00	1.6550479320309	2019-01-23 02:00:00	-1.35	2019-01-23 08:00:00
15	3.358	2019-01-20 01:30:00	1.5316213212462333	2019-01-23 03:00:00	-1.64	2019-01-23 09:00:00
16	3.299	2019-01-20 01:36:00	1.0029314098305	2019-01-23 04:00:00	-1.8	2019-01-23 10:00:00
17	3.240	2019-01-20 01:42:00	0.47945176251520666	2019-01-23 05:00:00	-1.61	2019-01-23 11:00:00
18	3.184	2019-01-20 01:48:00	0.06139301539528665	2019-01-23 06:00:00	-0.79	2019-01-23 12:00:00
19	3.125	2019-01-20 01:54:00	-0.29063666613126665	2019-01-23 07:00:00	0.13	2019-01-23 13:00:00
20	3.079	2019-01-20 02:00:00	-0.563254813622	2019-01-23 08:00:00	0.66	2019-01-23 14:00:00
21	3.033	2019-01-20 02:06:00	-0.5420701643998667	2019-01-23 09:00:00	0.79	2019-01-23 15:00:00
22	2.968	2019-01-20 02:12:00	-0.2553609768078668	2019-01-23 10:00:00	0.62	2019-01-23 16:00:00
23	2.905	2019-01-20 02:18:00	0.27967001468260005	2019-01-23 11:00:00	0.3	2019-01-23 17:00:00
24	2.856	2019-01-20 02:24:00	0.8659855923701899	2019-01-23 12:00:00	-0.16	2019-01-23 18:00:00
25	2.807	2019-01-20 02:30:00	1.3725422138399	2019-01-23 13:00:00	-0.66	2019-01-23 19:00:00
26	2.748	2019-01-20 02:36:00	1.6911540228430335	2019-01-23 14:00:00	-1.05	2019-01-23 20:00:00
