Datetime(UTC)	WASD2	NCDV2	LWTV2	GTND2	SGSM2
2018-05-12 15:00:00	1.31	1.6	1.9	2.36	1.9
2018-05-12 16:00:00	0.89	1.9	1.9	1.9	2.0
2018-05-12 17:00:00	0.66	2.1	1.8	1.64	2.1
2018-05-12 18:00:00	0.52	2.1	1.5	1.48	2.0
2018-05-12 19:00:00	0.79	2.1	1.2	1.67	1.6
2018-05-12 20:00:00	1.61	1.8	0.9	2.49	1.3
2018-05-12 21:00:00	2.69	1.4	0.7	3.58	1.0
2018-05-12 22:00:00	3.38	1.1	0.6	4.33	0.9
2018-05-12 23:00:00	3.54	0.9	0.7	4.46	0.9
2018-05-13 00:00:00	3.22	0.8	1.0	4.17	1.1
2018-05-13 01:00:00	2.66	1.0	1.3	3.61	1.5
2018-05-13 02:00:00	2.0	1.4	1.7	2.95	1.8
2018-05-13 03:00:00	1.38	1.8	1.9	2.36	2.1
2018-05-13 04:00:00	0.95	2.2	2.0	1.9	2.3
2018-05-13 05:00:00	0.66	2.5	1.9	1.64	2.5
2018-05-13 06:00:00	0.52	2.6	1.8	1.44	2.3
2018-05-13 07:00:00	0.75	2.5	1.4	1.64	2.0
2018-05-13 08:00:00	1.54	2.3	1.1	2.43	1.7
2018-05-13 09:00:00	2.59	1.9	0.8	3.51	1.3
2018-05-13 10:00:00	3.38	1.4	0.7	4.3	1.1
2018-05-13 11:00:00	3.67	1.1	0.5	4.59	1.0
2018-05-13 12:00:00	3.48	0.9	0.7	4.43	1.0
2018-05-13 13:00:00	3.05	0.9	1.0	4.0	1.2
2018-05-13 14:00:00	2.46	1.0	1.3	3.44	1.5
2018-05-13 15:00:00	1.77	1.4	1.6	2.76	1.9
2018-05-13 16:00:00	1.21	1.8	1.7	2.17	2.1
2018-05-13 17:00:00	0.82	2.2	1.8	1.77	2.2
2018-05-13 18:00:00	0.52	2.3	1.6	1.48	2.3
2018-05-13 19:00:00	0.33	2.4	1.3	1.28	2.0
2018-05-13 20:00:00	0.59	2.2	1.0	1.48	1.6
2018-05-13 21:00:00	1.51	1.9	0.7	2.36	1.3
2018-05-13 22:00:00	2.59	1.5	0.5	3.51	1.1
2018-05-13 23:00:00	3.25	1.2	0.6	4.2	1.0
2018-05-14 00:00:00	3.38	1.0	0.8	4.3	1.1
2018-05-14 01:00:00	3.05	1.0	1.1	4.0	1.4
2018-05-14 02:00:00	2.46	1.3	1.5	3.41	1.7
2018-05-14 03:00:00	1.74	1.7	1.8	2.72	2.1
2018-05-14 04:00:00	1.15	2.1	2.2	2.13	2.5
2018-05-14 05:00:00	0.75	2.5	2.3	1.71	2.7
2018-05-14 06:00:00	0.56	2.8	2.2	1.48	2.7
2018-05-14 07:00:00	0.62	2.8	1.9	1.54	2.6
2018-05-14 08:00:00	1.25	2.8	1.6	2.13	2.3
2018-05-14 09:00:00	2.23	2.4	1.2	3.12	1.9
2018-05-14 10:00:00	3.15	2.1	0.9	4.04	1.6
2018-05-14 11:00:00	3.77	1.7	0.8	4.69	1.3
2018-05-14 12:00:00	4.07	1.3	0.8	4.99	1.2
2018-05-14 13:00:00	3.9	1.2	1.0	4.86	1.3
2018-05-14 14:00:00	3.35	1.2	1.3	4.3	1.6
2018-05-14 15:00:00	2.56	1.4	1.7	3.54	2.0
2018-05-14 16:00:00	1.84	1.9	1.9	2.82	2.3
2018-05-14 17:00:00	1.31	2.3	2.0	2.26	2.5
2018-05-14 18:00:00	0.89	2.6	1.9	1.87	2.6
2018-05-14 19:00:00	0.62	2.8	1.7	1.57	2.5
2018-05-14 20:00:00	0.59	2.7	1.3	1.51	2.2
2018-05-14 21:00:00	1.08	2.4	1.1	1.94	1.9
2018-05-14 22:00:00	2.13	2.0	0.8	3.02	1.5
2018-05-14 23:00:00	3.22	1.6	0.7	4.17	1.3
2018-05-15 00:00:00	3.64	1.3	0.7	4.59	1.3
2018-05-15 01:00:00	3.44	1.2	0.9	4.43	1.4
2018-05-15 02:00:00	2.95	1.2	1.3	3.9	1.6
2018-05-15 03:00:00	2.26	1.4	1.7	3.28	1.9
2018-05-15 04:00:00	1.61	1.9	2.0	2.62	2.3
2018-05-15 05:00:00	1.15		2.3	2.13	
2018-05-15 06:00:00	0.89		2.3	1.87	
2018-05-15 07:00:00	0.66			1.67	
2018-05-15 08:00:00	0.72			1.67	
2018-05-15 09:00:00	1.35			2.23	
2018-05-15 10:00:00	2.46			3.38	
2018-05-15 11:00:00	3.48			4.43	
2018-05-15 12:00:00	4.0			4.95	
