Datetime(UTC),SLIM2,WASD2,KPTV2,CBBV2,LWTV2,BLTM2,APAM2,BISM2,AXTV2,NCDV2,SWPV2
2018-10-14 18:00:00,1.318,3.489,3.509,2.756,1.62,1.538,1.361,1.63,2.228,0.47,3.578
2018-10-14 19:00:00,1.59,3.007,3.138,2.354,1.948,1.4,1.259,2.089,1.652,0.657,3.358
2018-10-14 20:00:00,1.918,2.401,2.548,1.788,2.23,1.328,1.279,2.568,1.082,0.994,2.899
2018-10-14 21:00:00,2.177,1.889,1.889,1.089,2.41,1.298,1.449,2.869,0.698,1.386,2.289
2018-10-14 22:00:00,2.348,1.547,1.4,0.643,2.509,1.38,1.718,2.938,0.53,1.704,1.767
2018-10-14 23:00:00,2.45,1.372,1.122,0.453,2.517,1.585,2.001,2.88,0.688,1.872,1.407
2018-10-15 00:00:00,2.428,1.427,0.986,0.507,2.386,1.886,2.271,2.683,1.263,1.883,1.279
2018-10-15 01:00:00,2.299,1.896,1.196,0.77,2.161,2.227,2.497,2.399,1.991,1.746,1.415
2018-10-15 02:00:00,2.115,2.705,1.626,1.206,1.92,2.528,2.631,2.092,2.556,1.486,1.776
2018-10-15 03:00:00,1.921,3.452,2.171,1.701,1.721,2.717,2.635,1.817,2.864,1.17,2.16
2018-10-15 04:00:00,1.738,3.874,2.663,2.077,1.599,2.758,2.527,1.601,2.974,0.886,2.636
2018-10-15 05:00:00,1.605,3.974,2.97,2.22,1.596,2.666,2.358,1.486,2.915,0.686,2.986
2018-10-15 06:00:00,1.596,3.764,3.042,2.044,1.744,2.491,2.157,1.545,2.649,0.586,3.134
2018-10-15 07:00:00,1.737,3.298,2.886,1.799,1.903,2.282,1.95,1.814,2.193,0.611,2.955
2018-10-15 08:00:00,1.976,2.755,2.54,1.408,2.182,2.071,1.794,2.212,1.677,0.785,2.684
2018-10-15 09:00:00,2.221,2.251,1.996,0.946,2.409,1.878,1.75,2.581,1.224,1.065,2.293
2018-10-15 10:00:00,2.416,1.849,1.594,0.571,2.557,1.73,1.815,2.804,0.857,1.347,1.891
2018-10-15 11:00:00,2.51,1.543,1.333,0.32,2.581,1.657,1.927,2.836,0.638,1.538,1.557
2018-10-15 12:00:00,2.488,1.34,1.301,0.41,2.483,1.688,2.042,2.708,0.829,1.607,1.317
2018-10-15 13:00:00,2.34,1.431,1.505,0.698,2.278,1.814,2.137,2.455,1.388,1.548,1.416
2018-10-15 14:00:00,2.113,1.956,1.922,1.052,2.034,2.082,2.185,2.138,1.964,1.358,1.74
2018-10-15 15:00:00,1.873,2.666,2.378,1.601,1.817,2.214,2.145,1.841,2.349,0.977,2.11
2018-10-15 16:00:00,1.661,3.215,2.923,2.085,1.665,2.243,2.016,1.622,2.547,0.694,2.612
2018-10-15 17:00:00,1.509,3.51,3.301,2.348,1.611,2.153,1.843,1.519,2.601,0.491,3.028
2018-10-15 18:00:00,1.375,3.527,3.338,2.358,1.696,1.978,1.669,1.581,2.479,0.401,3.267
2018-10-15 19:00:00,1.502,3.229,3.228,2.164,1.815,1.777,1.512,1.843,2.115,0.444,3.28
2018-10-15 20:00:00,1.752,2.716,2.998,1.796,2.091,1.609,1.408,2.249,1.574,0.636,3.07
2018-10-15 21:00:00,2.03,2.168,2.508,1.291,2.336,1.512,1.418,2.552,1.07,0.954,2.683
2018-10-15 22:00:00,2.263,1.725,1.875,0.673,2.508,1.505,1.567,2.817,0.766,1.3,2.205
2018-10-15 23:00:00,2.423,1.457,1.439,0.307,2.593,1.501,1.803,2.901,0.67,1.563,1.646
2018-10-16 00:00:00,2.49,1.35,1.185,0.167,2.561,1.699,2.061,2.829,0.886,1.693,1.318
2018-10-16 01:00:00,2.445,1.476,1.143,0.133,2.404,1.976,2.304,2.636,1.448,1.59,1.201
2018-10-16 02:00:00,2.307,1.991,1.22,0.279,2.167,2.277,2.503,2.364,2.084,1.458,1.219
2018-10-16 03:00:00,2.125,2.759,1.488,0.677,1.824,2.531,2.511,2.071,2.536,1.216,1.528
2018-10-16 04:00:00,1.833,3.396,1.947,1.015,1.622,2.577,2.499,1.81,2.765,0.931,1.833
2018-10-16 05:00:00,1.647,3.729,2.346,1.326,1.491,2.492,2.39,1.607,2.838,0.585,2.219
2018-10-16 06:00:00,1.511,3.795,2.473,1.427,1.475,2.396,2.129,1.405,2.77,0.419,2.383
2018-10-16 07:00:00,1.496,3.59,2.593,1.349,1.6,2.132,1.939,1.367,2.515,0.344,2.565
2018-10-16 08:00:00,1.523,3.063,2.413,1.23,1.821,1.84,1.644,1.515,1.992,0.383,2.451
2018-10-16 09:00:00,1.629,2.559,2.062,1.081,2.048,1.644,1.404,1.861,1.52,0.552,2.272
2018-10-16 10:00:00,1.835,2.097,1.727,0.872,2.124,1.462,1.371,2.068,1.117,0.704,2.097
