Var1,Var2,Var3,Var4
2018-09-23 01:29,0.7233,0.0567,0.1088
2018-09-23 01:49,0.7227,0.0686,0.1323
2018-09-23 02:09,0.7229,0.0672,0.1293
2018-09-23 02:29,0.6981,0.0641,0.1263
2018-09-23 02:49,0.6448,0.0561,0.1189
2018-09-23 03:09,0.5926,0.0461,0.1067
2018-09-23 03:29,0.5282,0.0363,0.0926
2018-09-23 03:49,0.4494,0.0245,0.0726
2018-09-23 04:09,0.3722,0.0146,0.0474
2018-09-23 04:29,0.2843,0.0094,0.0294
2018-09-23 04:49,0.1881,0.0059,0.0153
2018-09-23 05:09,0.0911,0.0034,0.0058
2018-09-23 05:29,0.0126,0.0022,0.003
2018-09-23 05:49,-0.0465,0.0011,0.0018
2018-09-23 06:09,-0.1062,0.0005,0.0006
2018-09-23 06:29,-0.162,0.0002,0.0001
2018-09-23 06:49,-0.2143,0,0
2018-09-23 07:09,-0.2669,0,0
2018-09-23 07:29,-0.3105,0,0
2018-09-23 07:49,-0.3455,0,0
2018-09-23 08:09,-0.3804,0,0
2018-09-23 08:29,-0.3895,0,0
2018-09-23 08:49,-0.3715,0,0
2018-09-23 09:09,-0.3534,0,0
2018-09-23 09:29,-0.3188,0,0
2018-09-23 09:49,-0.2661,0,0
2018-09-23 10:09,-0.2141,0,0
2018-09-23 10:29,-0.1562,0,0
2018-09-23 10:49,-0.0935,0,0
2018-09-23 11:09,-0.0309,0,0
2018-09-23 11:29,0.0499,0,0
2018-09-23 11:49,0.1494,0,0
2018-09-23 12:09,0.2484,0.0009,0.002
2018-09-23 12:29,0.3407,0.0044,0.0116
2018-09-23 12:49,0.427,0.0156,0.0538
2018-09-23 13:09,0.5134,0.0292,0.0807
2018-09-23 13:29,0.571,0.0409,0.0993
2018-09-23 13:49,0.597,0.0465,0.1067
2018-09-23 14:09,0.6235,0.0512,0.1128
2018-09-23 14:29,0.6154,0.0513,0.1121
2018-09-23 14:49,0.5689,0.0438,0.1022
2018-09-23 15:09,0.5237,0.0351,0.0893
2018-09-23 15:29,0.4689,0.0267,0.0746
2018-09-23 15:49,0.4032,0.0177,0.0555
2018-09-23 16:09,0.3386,0.0116,0.0334
2018-09-23 16:29,0.2636,0.008,0.0191
2018-09-23 16:49,0.1799,0.0054,0.0088
2018-09-23 17:09,0.0954,0.0036,0.0048
2018-09-23 17:29,0.0252,0.0024,0.0028
2018-09-23 17:49,-0.0297,0.001,0.0018
2018-09-23 18:09,-0.0854,0.0002,0.0004
2018-09-23 18:29,-0.137,0,0.0001
2018-09-23 18:49,-0.1856,0,0
2018-09-23 19:09,-0.2343,0,0
2018-09-23 19:29,-0.273,0,0
2018-09-23 19:49,-0.3019,0,0
2018-09-23 20:09,-0.3306,0,0
2018-09-23 20:29,-0.3455,0,0
2018-09-23 20:49,-0.3455,0,0
2018-09-23 21:09,-0.3454,0,0
2018-09-23 21:29,-0.3236,0,0
2018-09-23 21:49,-0.2788,0,0
2018-09-23 22:09,-0.2343,0,0
2018-09-23 22:29,-0.1603,0,0
2018-09-23 22:49,-0.0568,0,0
2018-09-23 23:09,0.0468,0,0
2018-09-23 23:29,0.1492,0,0
2018-09-23 23:49,0.2514,0.0021,0.0015
2018-09-24 00:09,0.3528,0.0071,0.0246
2018-09-24 00:29,0.4601,0.0212,0.0657
2018-09-24 00:49,0.5725,0.0427,0.1003
2018-09-24 01:09,0.6856,0.0643,0.1288
2018-09-24 01:29,0.7664,0.0783,0.1422
2018-09-24 01:49,0.8089,0.0872,0.1524
2018-09-24 02:09,0.8527,0.0906,0.1513
2018-09-24 02:29,0.86,0.0928,0.1535
2018-09-24 02:49,0.8255,0.0908,0.1561
2018-09-24 03:09,0.7927,0.0842,0.1483
2018-09-24 03:29,0.7331,0.0764,0.1413
2018-09-24 03:49,0.6433,0.062,0.1258
2018-09-24 04:09,0.5546,0.0451,0.1034
2018-09-24 04:29,0.4651,0.0299,0.0789
2018-09-24 04:49,0.3737,0.0174,0.0536
2018-09-24 05:09,0.2835,0.0104,0.0275
2018-09-24 05:29,0.1953,0.0069,0.0139
2018-09-24 05:49,0.1118,0.0048,0.007
2018-09-24 06:09,0.0274,0.0028,0.0041
2018-09-24 06:29,-0.0394,0.002,0.0024
2018-09-24 06:49,-0.088,0.0014,0.0015
2018-09-24 07:09,-0.1374,0.0005,0.0003
2018-09-24 07:29,-0.1832,0.0001,0
2018-09-24 07:49,-0.2275,0,0
2018-09-24 08:09,-0.2717,0,0
2018-09-24 08:29,-0.3102,0,0
