Var1,Var2,Var3
2018-09-23 01:21,0.0013,0.5853
2018-09-23 01:41,0.0008,0.6251
2018-09-23 02:01,-0.0005,0.6148
2018-09-23 02:21,0.0306,0.6294
2018-09-23 02:41,0.0932,0.6754
2018-09-23 03:01,0.1534,0.697
2018-09-23 03:21,0.2083,0.7214
2018-09-23 03:41,0.2569,0.7601
2018-09-23 04:01,0.3026,0.7732
2018-09-23 04:21,0.3556,0.7925
2018-09-23 04:41,0.4111,0.8348
2018-09-23 05:01,0.4645,0.8494
2018-09-23 05:21,0.5098,0.8631
2018-09-23 05:41,0.5424,0.8963
2018-09-23 06:01,0.5736,0.8952
2018-09-23 06:21,0.5838,0.8947
2018-09-23 06:41,0.5719,0.9095
2018-09-23 07:01,0.5583,0.8862
2018-09-23 07:21,0.5147,0.863
2018-09-23 07:41,0.4401,0.8425
2018-09-23 08:01,0.3638,0.7808
2018-09-23 08:21,0.2828,0.7288
2018-09-23 08:41,0.1964,0.6834
2018-09-23 09:01,0.1075,0.6069
2018-09-23 09:21,0.0277,0.5555
2018-09-23 09:41,-0.05,0.5107
2018-09-23 10:01,-0.1284,0.4509
2018-09-23 10:21,-0.1901,0.4175
2018-09-23 10:41,-0.2378,0.3951
2018-09-23 11:01,-0.287,0.3604
2018-09-23 11:21,-0.3066,0.3544
2018-09-23 11:41,-0.2994,0.3647
2018-09-23 12:01,-0.2937,0.3618
2018-09-23 12:21,-0.2871,0.3659
2018-09-23 12:41,-0.2828,0.3734
2018-09-23 13:01,-0.2798,0.3678
2018-09-23 13:21,-0.2641,0.3747
2018-09-23 13:41,-0.2391,0.3943
2018-09-23 14:01,-0.2153,0.3991
2018-09-23 14:21,-0.1696,0.4222
2018-09-23 14:41,-0.1042,0.4653
2018-09-23 15:01,-0.0409,0.4908
2018-09-23 15:21,0.0425,0.5342
2018-09-23 15:41,0.1395,0.6009
2018-09-23 16:01,0.2358,0.644
2018-09-23 16:21,0.3155,0.6837
2018-09-23 16:41,0.3749,0.7306
2018-09-23 17:01,0.4349,0.7532
2018-09-23 17:21,0.4843,0.7744
