	iflood	etss	estofs	cbofs	Time_adcirc	observed	Time_observed	ahps	Time_ahps	Time_etss
0	0.9185088712425	2.929	0.69	1.4402390175044535	2018-12-17 07:00:00	2.428	2018-12-15 00:00:00	1.9	2018-12-17 18:00:00	2018-12-17 13:00:00
1	0.9579943914801802	3.05	0.62	1.3872733402952548	2018-12-17 08:00:00	2.264	2018-12-15 01:00:00	1.7	2018-12-17 19:00:00	2018-12-17 14:00:00
2	1.1148485275110698	2.948	0.66	1.6435425275444984	2018-12-17 09:00:00	2.031	2018-12-15 02:00:00	1.6	2018-12-17 20:00:00	2018-12-17 15:00:00
3	1.49932238347349	2.7680000000000002	0.96	2.1304293644011016	2018-12-17 10:00:00	1.736	2018-12-15 03:00:00	1.6	2018-12-17 21:00:00	2018-12-17 16:00:00
4	1.9096280196175	2.421	1.43	2.724676093327999	2018-12-17 11:00:00	1.437	2018-12-15 04:00:00	1.8	2018-12-17 22:00:00	2018-12-17 17:00:00
5	2.2786857413539	2.074	1.82	3.1828786529183386	2018-12-17 12:00:00	1.188	2018-12-15 05:00:00	2.0	2018-12-17 23:00:00	2018-12-17 18:00:00
6	2.3651147292238996	1.8019999999999998	2.01	3.3827814229607585	2018-12-17 13:00:00	1.066	2018-12-15 06:00:00	2.4	2018-12-18 00:00:00	2018-12-17 19:00:00
7	2.3195244687666	1.642	2.05	3.3807174527525894	2018-12-17 14:00:00	1.129	2018-12-15 07:00:00	2.6	2018-12-18 01:00:00	2018-12-17 20:00:00
8	2.009456780459	1.6230000000000002	1.97	3.2249027603745457	2018-12-17 15:00:00	1.417	2018-12-15 08:00:00	2.7	2018-12-18 02:00:00	2018-12-17 21:00:00
9	1.5953878924686002	1.781	1.71	2.9544413089632986	2018-12-17 16:00:00	1.844	2018-12-15 09:00:00	2.5	2018-12-18 03:00:00	2018-12-17 22:00:00
10	1.230185383270121	2.095	1.34	2.5754927412748336	2018-12-17 17:00:00	2.244	2018-12-15 10:00:00	2.3	2018-12-18 04:00:00	2018-12-17 23:00:00
11	0.9833199814753301	2.448	0.99	2.1976285695314406	2018-12-17 18:00:00	2.477	2018-12-15 11:00:00	1.8	2018-12-18 05:00:00	2018-12-18 00:00:00
12	0.9217263041642001	2.596	0.76	1.951985998082161	2018-12-17 19:00:00	2.566	2018-12-15 12:00:00	1.3	2018-12-18 06:00:00	2018-12-18 01:00:00
13	0.8841340045264	2.6639999999999997	0.66	1.8706222742676732	2018-12-17 20:00:00	2.589	2018-12-15 13:00:00	1.0	2018-12-18 07:00:00	2018-12-18 02:00:00
14	0.9043949085646	2.552	0.67	2.016273468095064	2018-12-17 21:00:00	2.402	2018-12-15 14:00:00	0.9	2018-12-18 08:00:00	2018-12-18 03:00:00
15	1.0285498988894302	2.282	0.79	2.378736479538679	2018-12-17 22:00:00	2.123	2018-12-15 15:00:00	0.9	2018-12-18 09:00:00	2018-12-18 04:00:00
16	1.272088081844206	1.9280000000000002	1.09	2.8465932920455934	2018-12-17 23:00:00	1.791	2018-12-15 16:00:00	1.2	2018-12-18 10:00:00	2018-12-18 05:00:00
17	1.6378956593317	1.554	1.37	3.2528353918671615	2018-12-18 00:00:00	1.506	2018-12-15 17:00:00	1.5	2018-12-18 11:00:00	2018-12-18 06:00:00
18	1.9192182740164	1.263	1.48	3.4266974053263666	2018-12-18 01:00:00	1.345	2018-12-15 18:00:00	2.0	2018-12-18 12:00:00	2018-12-18 07:00:00
19	1.8558556000478001	1.013	1.43	3.2817497488141063	2018-12-18 02:00:00	1.312	2018-12-15 19:00:00	2.3	2018-12-18 13:00:00	2018-12-18 08:00:00
20	1.51641928639681	1.03	1.21	2.938524840581417	2018-12-18 03:00:00	1.473	2018-12-15 20:00:00	2.4	2018-12-18 14:00:00	2018-12-18 09:00:00
21	1.08568723666175	1.236	0.88	2.551342979568243	2018-12-18 04:00:00	1.795	2018-12-15 21:00:00	2.4	2018-12-18 15:00:00	2018-12-18 10:00:00
22	0.7480792026464002	1.52	0.56	2.17389613892436	2018-12-18 05:00:00	2.103	2018-12-15 22:00:00	2.3	2018-12-18 16:00:00	2018-12-18 11:00:00
23	0.4738747817693	1.984	0.3	1.8197266541600228	2018-12-18 06:00:00	2.375	2018-12-15 23:00:00	2.1	2018-12-18 17:00:00	2018-12-18 12:00:00
24	0.2876257483781	2.373	0.11	1.4750353668659926	2018-12-18 07:00:00	2.52	2018-12-16 00:00:00	1.3	2018-12-18 18:00:00	2018-12-18 13:00:00
25	0.1707381295144	2.479	-0.04	1.195219313699007	2018-12-18 08:00:00	2.47	2018-12-16 01:00:00	1.0	2018-12-18 19:00:00	2018-12-18 14:00:00
26	0.11318203121570006	2.487	-0.16	1.0251435954311865	2018-12-18 09:00:00	2.287	2018-12-16 02:00:00	0.8	2018-12-18 20:00:00	2018-12-18 15:00:00
27	0.14843127852600005	2.327	-0.21	1.068385145732388	2018-12-18 10:00:00	1.991	2018-12-16 03:00:00	0.7	2018-12-18 21:00:00	2018-12-18 16:00:00
28	0.36420485631920013	2.0380000000000003	-0.14	1.3983043311566117	2018-12-18 11:00:00	1.719	2018-12-16 04:00:00	0.7	2018-12-18 22:00:00	2018-12-18 17:00:00
29	0.7524992838214001	1.681	0.1	1.9581787887394428	2018-12-18 12:00:00	1.388	2018-12-16 05:00:00	0.9	2018-12-18 23:00:00	2018-12-18 18:00:00
30	1.1177615109306902	1.3419999999999999	0.37	2.4805444403767587	2018-12-18 13:00:00	1.24	2018-12-16 06:00:00	1.3	2018-12-19 00:00:00	2018-12-18 19:00:00
31	1.2296711681349959	1.084	0.5	2.717004163134098	2018-12-18 14:00:00	1.214	2018-12-16 07:00:00	1.7	2018-12-19 01:00:00	2018-12-18 20:00:00
32	1.1006760306776302	1.042	0.41	2.6243295735895638	2018-12-18 15:00:00	1.368	2018-12-16 08:00:00	2.0	2018-12-19 02:00:00	2018-12-18 21:00:00
33	0.7421585114997999	1.055	0.2	2.29495266558528	2018-12-18 16:00:00	1.745	2018-12-16 09:00:00	2.1	2018-12-19 03:00:00	2018-12-18 22:00:00
34	0.34175371712189995	1.266	-0.07	1.8828702771246435	2018-12-18 17:00:00	2.201	2018-12-16 10:00:00	2.0	2018-12-19 04:00:00	2018-12-18 23:00:00
35	-0.014928738985599967	1.646	0.0	1.4577573899954557	2018-12-18 18:00:00	2.546	2018-12-16 11:00:00	1.7	2018-12-19 05:00:00	2018-12-19 00:00:00
36	-0.27363715599120003	2.057	0.0	1.0819850622761995	2018-12-18 19:00:00	2.73	2018-12-16 12:00:00	1.3	2018-12-19 06:00:00	2018-12-19 01:00:00
37	-0.4381930235241002	2.346	0.0	0.8201890308402479	2018-12-18 20:00:00	2.74	2018-12-16 13:00:00	1.0	2018-12-19 07:00:00	2018-12-19 02:00:00
38	-0.5219723896448	2.4330000000000003	0.0	0.6923648198872804	2018-12-18 21:00:00	2.651	2018-12-16 14:00:00	0.7	2018-12-19 08:00:00	2018-12-19 03:00:00
39	-0.4829515055316999	2.316	0.0	0.7892732593484222	2018-12-18 22:00:00	2.49	2018-12-16 15:00:00	0.6	2018-12-19 09:00:00	2018-12-19 04:00:00
40	-0.2441056315897999	2.029	0.0	1.1713407854281366	2018-12-18 23:00:00	2.26	2018-12-16 16:00:00	0.6	2018-12-19 10:00:00	2018-12-19 05:00:00
41	0.17573616638569994	1.6380000000000001	0.0	1.7427467647373676	2018-12-19 00:00:00	1.991	2018-12-16 17:00:00	0.9	2018-12-19 11:00:00	2018-12-19 06:00:00
